ID,Site,LUIlevel,MAT,MAP,LUIwT,Nit,Mow,Graze,Till,Sand,Silt,Clay,pH,BD,EOC,ETN,totN,totC,CN,totP,CUE_G,CUE_N,CO2_G,CO2_N,MBC_G,MBC_N,PCOA16s1,PCOA16s2,PCOAits1,PCOAits2
HFM2,gKnapwell,Mid,10.45,568.1,2,0,2,0,0,54.3,16.58,29.11,8.25,1.21,709.63,138.26,0.26,3.45,11.59,953.22,0.81,0.79,1.76,0.16,7.5,0.6,0.453310541,-0.095314031,0.373586069,-0.195055393
HFM3,gKnapwell,Mid,10.45,568.1,2,0,2,0,0,54.3,16.58,29.11,8.21,1.13,1215.21,156.09,0.33,4.53,11.94,860.91,0.75,0.83,2.44,0.19,7.5,0.94,0.45042284,-0.143479863,0.38724873,-0.209721607
HFM4,gKnapwell,Mid,10.45,568.1,2,0,2,0,0,54.3,16.58,29.11,8.22,1.26,866.94,124.92,0.31,3.8,10.61,655.02,0.78,0.85,2,0.12,7.25,0.7,0.48022001,-0.130547278,0.384615017,-0.218108775
HFM5,gKnapwell,Mid,10.45,568.1,2,0,2,0,0,54.3,16.58,29.11,8.19,1.16,986.81,89.46,0.3,4.03,11.35,842.73,0.77,0.73,1.93,0.19,6.37,0.51,0.452916064,-0.093458027,0.366787374,-0.22300998
PDA1,hSalisbury,xHigh,9.95,770.4,9.09,2.86,0,0,6.23,50.14,27.81,22.05,8.2,1.12,1835.90,353.28,0.4,9.77,21.06,922.42,0.8,0.72,1.95,0.35,7.93,0.89,0.389616159,-0.120867744,0.390762212,-0.164334162
PDA2,hSalisbury,xHigh,9.95,770.4,9.09,2.86,0,0,6.23,50.14,27.81,22.05,8.27,0.94,1400.58,435.53,0.38,9.93,22.26,922.42,0.86,0.84,1.51,0.21,9.07,1.08,0.450358863,-0.124548281,0.408634328,-0.173308951
PDA3,hSalisbury,xHigh,9.95,770.4,9.09,2.86,0,0,6.23,50.14,27.81,22.05,8.36,1.01,1803.88,431.43,0.41,11.73,24.32,922.42,0.87,0.76,1.38,0.26,9.06,0.83,0.464137256,-0.122469454,0.409652003,-0.170481578
PDA4,hSalisbury,xHigh,9.95,770.4,9.09,2.86,0,0,6.23,50.14,27.81,22.05,8.28,1.09,1906.60,592.24,0.4,11.38,24.37,922.42,0.79,0.69,2.08,0.5,7.85,1.1,0.424675459,-0.14600913,0.37441533,-0.212121749
PDA5,hSalisbury,xHigh,9.95,770.4,9.09,2.86,0,0,6.23,50.14,27.81,22.05,8.41,0.79,1731.75,449.86,0.37,11.09,25.72,922.42,0.79,0.77,2.05,0.28,7.77,0.94,0.45579324,-0.118231918,0.40888821,-0.179050696
PDG1,hSalisbury,Low,9.95,770.4,1.14,0,0,1.14,0,51.34,30.21,18.45,7.77,0.76,1519.24,519.99,0.87,10.7,10.58,1414.92,0.87,0.82,1.86,0.35,12.44,1.56,0.43459153,-0.144493006,0.258586081,-0.120980763
PDG2,hSalisbury,Low,9.95,770.4,1.14,0,0,1.14,0,51.34,30.21,18.45,7.79,0.82,1662.26,351.78,1.01,13.71,11.59,1414.92,0.92,0.82,1.37,0.54,16.63,2.5,0.396443677,-0.131269223,0.195841928,-0.13848325
PDG3,hSalisbury,Low,9.95,770.4,1.14,0,0,1.14,0,51.34,30.21,18.45,7.72,0.63,1782.74,361.01,1,14.97,12.85,1414.92,0.85,0.8,2.39,0.61,13.49,2.46,0.419622835,-0.121183685,0.295368834,-0.125282178
PDG4,hSalisbury,Low,9.95,770.4,1.14,0,0,1.14,0,51.34,30.21,18.45,7.61,0.69,1747.15,259.92,1.05,12.46,10.14,1414.92,0.81,0.81,2.17,0.55,9.36,2.35,0.451718693,-0.121231969,0.303317085,-0.134476586
PDG5,hSalisbury,Low,9.95,770.4,1.14,0,0,1.14,0,51.34,30.21,18.45,7.44,0.68,1919.85,338.48,1.08,14.21,11.32,1414.92,0.89,0.8,2.13,0.58,16.54,2.38,0.443367273,-0.12906844,0.318275827,-0.130242993
NWA1,iOkehampton,xHigh,10.05,1053.3,11.31,2.37,1.2,3.59,4.15,49.09,22.88,28.03,6.37,0.94,1802.51,711.31,0.38,3.8,8.51,261.78,0.69,0.42,5.78,0.71,13.15,0.52,-0.025226017,0.159928674,0.091695692,0.243824644
NWA2,iOkehampton,xHigh,10.05,1053.3,11.31,2.37,1.2,3.59,4.15,49.09,22.88,28.03,6.2,1.03,850.30,636.26,0.37,3.42,7.84,1255.68,0.67,0.08,4.43,0.49,8.86,0.04,0.011664241,0.216943992,0.090052775,0.265643332
NWA3,iOkehampton,xHigh,10.05,1053.3,11.31,2.37,1.2,3.59,4.15,49.09,22.88,28.03,6.12,1.01,762.16,773.09,0.41,3.44,7.24,1286.66,0.74,0.61,4.74,0.31,13.61,0.48,-0.009422649,0.210174373,0.073309553,0.278656192
NWA4,iOkehampton,xHigh,10.05,1053.3,11.31,2.37,1.2,3.59,4.15,49.09,22.88,28.03,6.19,0.97,838.22,778.66,0.43,3.7,7.29,247.09,0.68,0.6,4.37,0.33,9.33,0.5,-0.022584097,0.147173501,0.075410261,0.269313043
NWA5,iOkehampton,xHigh,10.05,1053.3,11.31,2.37,1.2,3.59,4.15,49.09,22.88,28.03,6.06,0.95,1730.35,952.94,0.47,4.26,7.69,260.96,0.75,0.53,5.8,0.45,17.27,0.51,0.001408752,0.223173938,0.100240048,0.292703224
NWG1,iOkehampton,Low,10.05,1053.3,2.25,0,0.6,1.65,0,57.9,18.2,23.89,5.95,0.53,2582.21,537.39,0.58,6.61,9.71,1277.04,0.7,0.44,6.71,0.62,16.01,0.49,-0.172301826,0.103719012,-0.070519119,0.156420098
NWG2,iOkehampton,Low,10.05,1053.3,2.25,0,0.6,1.65,0,57.9,18.2,23.89,5.94,0.54,3186.46,710.02,0.66,6.5,8.39,924.6,0.68,0.11,7.08,0.53,15.4,0.07,-0.179872735,0.080698362,-0.148205884,-0.00033706
NWG3,iOkehampton,Low,10.05,1053.3,2.25,0,0.6,1.65,0,57.9,18.2,23.89,5.83,0.76,1583.44,784.34,0.59,6.07,8.83,562.3,0.66,0.47,6.88,0.33,13.56,0.3,-0.223988866,0.025455205,-0.165062763,0.040231111
NWG4,iOkehampton,Low,10.05,1053.3,2.25,0,0.6,1.65,0,57.9,18.2,23.89,6.17,0.69,789.39,292.29,0.41,4.12,8.57,924.65,0.58,0.93,5.55,0.38,7.7,0.3875,-0.245254331,-0.034471379,-0.17720944,-0.029389608
NWG5,iOkehampton,Low,10.05,1053.3,2.25,0,0.6,1.65,0,57.9,18.2,23.89,6.03,0.62,1271.27,346.57,0.63,6.45,8.74,703.08,0.65,0.6,5.79,0.45,10.97,0.69,-0.178986041,0.081456235,-0.103793808,0.07201585
NWM1,iOkehampton,Mid,10.05,1053.3,7.68,2.81,2,2.87,0,48.96,25.1,25.94,5.96,0.66,1119.15,326.69,0.5,5.31,9.09,389.14,0.72,0.28,5.27,0.65,13.64,0.25,0.024457228,0.218847449,0.115212179,0.267566375
NWM2,iOkehampton,Mid,10.05,1053.3,7.68,2.81,2,2.87,0,48.96,25.1,25.94,6.03,0.77,836.28,735.25,0.53,5.29,8.52,298.2,0.72,0.47,5.41,0.32,13.96,0.28,-0.144640924,0.146737072,0.113870366,-0.109890257
NWM3,iOkehampton,Mid,10.05,1053.3,7.68,2.81,2,2.87,0,48.96,25.1,25.94,5.97,0.83,1278.74,1188.58,0.45,4.38,8.26,247.73,0.71,0.47,5.76,0.36,14.22,0.32,-0.032829496,0.163812032,0.042543645,0.234800359
NWM4,iOkehampton,Mid,10.05,1053.3,7.68,2.81,2,2.87,0,48.96,25.1,25.94,6.03,0.84,1070.01,343.37,0.45,4.63,8.79,1312.08,0.55,0.54,5.37,0.52,6.47,0.61,-0.136171144,0.125669046,0.110845532,-0.125535671
NWM5,iOkehampton,Mid,10.05,1053.3,7.68,2.81,2,2.87,0,48.96,25.1,25.94,5.96,0.87,1323.96,1391.39,0.45,4.42,8.47,1255.27,0.75,0.51,5.11,0.65,15.36,0.67,-0.012168038,0.207252506,0.071138639,0.208800014
