,OTU.ID,group,taxIS
117,OTU13785,1,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_sp_SH214081.07FU
118,OTU9721,1,k__Fungi
119,OTU8456,1,k__Fungi
120,OTU11758,1,k__Fungi
121,OTU33157,1,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Incertae_sedis; g__Tetracladium; s__Tetracladium_sp_SH204315.07FU
122,OTU6891,1,k__Fungi
123,OTU7005,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_exigua_SH214063.07FU
124,OTU19602,1,k__Fungi
125,OTU7653,1,k__Fungi
126,OTU17585,1,k__Fungi; p__Basidiomycota
127,OTU6452,1,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Basidiobolales; f__Basidiobolaceae; g__Basidiobolus; s__Basidiobolus_magnus_SH177566.07FU
128,OTU2844,1,k__Fungi
129,OTU23890,1,k__Fungi
130,OTU32611,1,k__Fungi
131,OTU23883,1,k__Fungi
132,OTU24099,1,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae; g__unidentified; s__Pezizaceae_sp_SH214051.07FU
133,OTU11878,1,k__Fungi
134,OTU23837,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Stachybotrys; s__Stachybotrys_chartarum_SH209070.07FU
135,OTU1213,1,k__Fungi
136,OTU32987,1,k__Fungi; p__Ascomycota
137,OTU3919,1,k__Fungi
138,OTU14794,1,k__Fungi
139,OTU19417,1,k__Fungi
140,OTU7129,1,k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified
141,OTU22419,1,k__Fungi; p__Ascomycota
142,OTU25760,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__Podospora_pleiospora_SH220575.07FU
143,OTU225,1,k__Fungi
144,OTU12449,1,k__Fungi
145,OTU20529,2,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae
146,OTU23715,2,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_podzolicus_SH181879.07FU
147,OTU4559,2,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
148,OTU19595,2,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH214904.07FU
149,OTU5921,2,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_terricola_SH190017.07FU
150,OTU4507,2,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
151,OTU32200,2,k__Fungi; p__Ascomycota
152,OTU5897,2,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_terricola_SH190017.07FU
153,OTU20068,2,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH214904.07FU
154,OTU4585,2,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
