,OTU,#,counts total,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
1843,OTU,13755,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
1942,OTU,13756,,1,Bacteria,Acidobacteria,[Chloracidobacteria],DS-100,,,
1772,OTU,13758,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
2020,OTU,13780,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,,
592,OTU,13792,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1738,OTU,13809,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1854,OTU,13815,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
2219,OTU,13816,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
2063,OTU,13845,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
519,OTU,13850,,1,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,
97,OTU,13865,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
189,OTU,13881,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
1952,OTU,13902,,1,Bacteria,WS3,PRR-12,Sediment-1,CV106,,
1751,OTU,13938,,1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,
941,OTU,13946,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1081,OTU,13951,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
1709,OTU,13954,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
157,OTU,13971,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1797,OTU,13993,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
925,OTU,14009,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
1324,OTU,14043,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
1000,OTU,14136,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
825,OTU,14147,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1629,OTU,14188,,1,Bacteria,Planctomycetes,vadinHA49,DH61,,,
2200,OTU,14189,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
517,OTU,14215,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],Chthoniobacter,
2238,OTU,14244,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1180,OTU,14246,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,,
